Reference, Value, Footprint, Datasheet, MANUFACTURER, MAXIMUM_PACKAGE_HEIGHT, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, PARTREV, STANDARD, Mouser Price/Stock, Description, Height
"U1","Z8601720ASG","QFP50P1600X1600X160-100N","~","Zilog","1.60mm","Zilog","~","~","Jan, 2005","IPC-7351B","","",""
"J1","PCMCIA Connector","IC1F-68RD-1.27SF_52:IC1F-68RD-1.27SF(52)","https://www.mouser.co.uk/datasheet/2/185/hirose_electric_hiros11303-1-1735566.pdf","","","Hirose","IC1F-68RD-1.27SF(52)","798-IC1F68RD127SF52","","","https://www.mouser.co.uk/ProductDetail/798-IC1F68RD127SF52","",""
"JP2","X.XV","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"JP3","Write Protect","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels","~"
"U4","YAC516-E","Package_SO:TSSOP-24_6.1x7.8mm_P0.65mm","~","","","Yamaha","~","~","","","","",""
"TP1","R","TestPoint:TestPoint_Pad_D1.0mm","~"
"U3","YMF289B-S","Package_QFP:TQFP-48_7x7mm_P0.5mm","~","","","Yamaha","~","~","","","","",""
"IC4","TPA152DR","SOIC127P600X175-8N","http://www.ti.com/lit/gpn/tpa152","1.6","","Texas Instruments","TPA152DR","595-TPA152DR","","","https://www.mouser.co.uk/ProductDetail/595-TPA152DR","Hi-Fi, Stereo Headphone Audio Amplifier","1.75"
"C9","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1090_X7R_ESD-1103328.pdf","","","KEMET","C0805C105M3REC7210","80-C0805C105M3RECLR","","","https://www.mouser.co.uk/ProductDetail/80-C0805C105M3RECLR","",""
"C11","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1090_X7R_ESD-1103328.pdf","","","KEMET","C0805C105M3REC7210","80-C0805C105M3RECLR","","","https://www.mouser.co.uk/ProductDetail/80-C0805C105M3RECLR","",""
"C12","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/1/KEM_C1090_X7R_ESD-1103328.pdf","","","KEMET","C0805C105M3REC7210","80-C0805C105M3RECLR","","","https://www.mouser.co.uk/ProductDetail/80-C0805C105M3RECLR","",""
"C14","330u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","https://www.mouser.co.uk/datasheet/2/281/1/GRM32EC80E337ME05_01A-1988111.pdf","","","Murata","GRM32EC80E337ME05L","81-GRM32EC80E337ME5L","","","https://www.mouser.co.uk/ProductDetail/81-GRM32EC80E337ME5L","",""
